application_id,contact_id,applicant_name,region,plan_id,channel,status,priority,owner,days_waiting,period_label,member_id
APP-10001,CNT-20001,Reed F.,West,PLN-02,Online,Enrolled,Standard,Priya,,This week,MNR-50001
APP-10002,CNT-20002,Olivia W.,South,PLN-01,Broker,Enrolled,Standard,Priya,,This week,MNR-50002
APP-10003,CNT-20003,Jordan M.,Midwest,PLN-03,Online,Enrolled,Standard,Priya,,This week,MNR-50003
APP-10004,CNT-20004,Alex J.,Northeast,PLN-02,Phone,Enrolled,Standard,Bala K,,This week,MNR-50004
APP-10005,CNT-20005,Kayla L.,West,PLN-02,Online,In progress,Standard,Priya,6,This week,
APP-10006,CNT-20006,Devon T.,South,PLN-03,Phone,In progress,Standard,Tanuja R,3,This week,
APP-10007,CNT-20007,Amber R.,West,PLN-01,Online,Exception,Urgent,Priya,7,This week,
APP-10008,CNT-20008,Hailey C.,Midwest,PLN-02,Broker,Enrolled,Standard,Akshitha M,,This week,MNR-50005
APP-10009,CNT-20009,Kai C.,Northeast,PLN-03,Online,Enrolled,Standard,Tanuja R,,This week,MNR-50006
APP-10010,CNT-20010,Morgan C.,West,PLN-02,Online,Enrolled,Standard,Sampat P,,This week,MNR-50007
APP-10011,CNT-20011,Elizabeth M.,Midwest,PLN-02,Phone,In progress,Standard,Tanuja R,5,This week,
APP-10012,CNT-20012,Jasmine M.,South,PLN-01,Online,Enrolled,Standard,Lili M,,This week,MNR-50008
APP-10013,CNT-20013,Logan E.,West,PLN-03,Online,Enrolled,Standard,Priya,,This week,MNR-50009
APP-10014,CNT-20014,Preston M.,Northeast,PLN-01,Broker,Exception,Urgent,Priya,9,This week,
APP-10015,CNT-20015,Madison B.,Midwest,PLN-02,Online,Enrolled,Standard,Priya,,This week,MNR-50010
APP-10016,CNT-20016,Remy M.,South,PLN-03,Phone,In progress,Standard,Priya,7,This week,
APP-10017,CNT-20017,Nicole W.,West,PLN-02,Online,Enrolled,Standard,Priya,,This week,MNR-50011
APP-10018,CNT-20018,Riley R.,Northeast,PLN-02,Online,Exception,Urgent,Priya,6,This week,
APP-10019,CNT-20019,Grace T.,South,PLN-01,Broker,Enrolled,Standard,Bala K,,This week,MNR-50012
APP-10020,CNT-20020,Parker M.,Northeast,PLN-03,Phone,Enrolled,Standard,Akshitha M,,This week,MNR-50013
APP-10021,CNT-20021,Cameron B.,West,PLN-02,Online,Enrolled,Standard,Tanuja R,,This week,MNR-50014
APP-10022,CNT-20022,Quinn C.,Midwest,PLN-03,Phone,In progress,Standard,Tanuja R,4,This week,
APP-10023,CNT-20023,Harvey F.,West,PLN-01,Online,Exception,Urgent,Priya,8,This week,
APP-10024,CNT-20024,Ellis T.,South,PLN-02,Online,Enrolled,Standard,Sampat P,,This week,MNR-50015
APP-10025,CNT-20025,Jamie E.,Northeast,PLN-02,Broker,Enrolled,Standard,Lili M,,This week,MNR-50016
